25289,,n client,n movements,frequency,,n client,n movements,frequency,,n client,n movements,frequency,,n client,n movements,frequency,,n client,n movements,frequency,,n client,n movements,frequency
,,ACLU,89,0.35%,,CRGU,1,0.00%,,FJKU,5,0.02%,,MAGU,62,0.25%,,SEAU,6,0.02%,,XXXX,4,0.02%
,,AKLU,10,0.04%,,CRLU,8,0.03%,,FRLU,8,0.03%,,MAXU,6,0.02%,,SEGU,481,1.90%,,YMLU,199,0.79%
,,ALLU,12,0.05%,,CRSU,59,0.23%,,FSCU,388,1.53%,,MBGU,5,0.02%,,SGCU,10,0.04%,,YMMU,133,0.53%
,,AMCU,6,0.02%,,CRTU,2,0.01%,,GAOU,6,0.02%,,MBIU,3,0.01%,,SGRU,3,0.01%,,ZCSU,56,0.22%
,,AMFU,43,0.17%,,CRXU,55,0.22%,,GATU,61,0.24%,,MEDU,1123,4.44%,,SKYU,42,0.17%,,ZIMU,17,0.07%
,,APHU,182,0.72%,,CSFU,9,0.04%,,GCNU,148,0.59%,,MFTU,19,0.08%,,SLSU,15,0.06%,,,,
,,APLU,1,0.00%,,CSLU,137,0.54%,,GESU,348,1.38%,,MIEU,24,0.09%,,SUDU,381,1.51%,,,,
,,APRU,5,0.02%,,CSNU,91,0.36%,,GLDU,319,1.26%,,MLCU,1,0.00%,,SZLU,12,0.05%,,,,
,,APZU,467,1.85%,,CTMU,8,0.03%,,GSLU,4,0.02%,,MMAU,2,0.01%,,TCIU,6,0.02%,,,,
,,ARDU,42,0.17%,,CTXU,4,0.02%,,GSPU,3,0.01%,,MNBU,20,0.08%,,TCKU,574,2.27%,,,,
,,ARKU,80,0.32%,,CXDU,91,0.36%,,GSTU,15,0.06%,,MOAU,103,0.41%,,TCLU,1203,4.76%,,,,
,,AXIU,20,0.08%,,CXRU,2,0.01%,,GVCU,33,0.13%,,MOFU,124,0.49%,,TCNU,719,2.84%,,,,
,,BDCU,1,0.00%,,CZZU,5,0.02%,,GVDU,4,0.02%,,MORU,3,0.01%,,TDRU,4,0.02%,,,,
,,BEAU,204,0.81%,,DAYU,37,0.15%,,HAKU,3,0.01%,,MOTU,26,0.10%,,TEMU,663,2.62%,,,,
,,BHCU,11,0.04%,,DFSU,306,1.21%,,HAMU,74,0.29%,,MRKU,1386,5.48%,,TEXU,7,0.03%,,,,
,,BMOU,459,1.82%,,DRYU,252,1.00%,,HASU,284,1.12%,,MRSU,174,0.69%,,TGBU,269,1.06%,,,,
,,BSIU,284,1.12%,,DSZU,6,0.02%,,HCIU,8,0.03%,,MSCU,721,2.85%,,TGCU,53,0.21%,,,,
,,BZTU,3,0.01%,,DVRU,6,0.02%,,HCSU,13,0.05%,,MSKU,1290,5.10%,,TGHU,777,3.07%,,,,
,,CAIU,651,2.57%,,ECMU,427,1.69%,,HDMU,37,0.15%,,MSUU,15,0.06%,,TIHU,1,0.00%,,,,
,,CARU,34,0.13%,,EGHU,48,0.19%,,HJMU,16,0.06%,,MVIU,6,0.02%,,TITU,44,0.17%,,,,
,,CATU,33,0.13%,,EGSU,24,0.09%,,HLBU,267,1.06%,,MWCU,12,0.05%,,TLLU,432,1.71%,,,,
,,CAXU,230,0.91%,,EIMU,7,0.03%,,HLXU,561,2.22%,,NEOU,9,0.04%,,TRDU,2,0.01%,,,,
,,CBHU,186,0.74%,,EISU,93,0.37%,,HMCU,43,0.17%,,NEXU,1,0.00%,,TRHU,325,1.29%,,,,
,,CCLU,166,0.66%,,EITU,82,0.32%,,HMMU,6,0.02%,,NIDU,8,0.03%,,TRIU,29,0.11%,,,,
,,CDDU,2,0.01%,,EMCU,42,0.17%,,IKSU,6,0.02%,,NYKU,555,2.19%,,TRLU,548,2.17%,,,,
,,CGMU,29,0.11%,,EQPU,4,0.02%,,IMTU,46,0.18%,,OCGU,5,0.02%,,TTNU,320,1.27%,,,,
,,CICU,21,0.08%,,ESPU,8,0.03%,,INBU,57,0.23%,,ONEU,44,0.17%,,UACU,750,2.97%,,,,
,,CLHU,222,0.88%,,FAMU,2,0.01%,,INKU,91,0.36%,,OOCU,112,0.44%,,UASU,8,0.03%,,,,
,,CLSU,2,0.01%,,FBIU,40,0.16%,,INNU,4,0.02%,,OPDU,2,0.01%,,UESU,30,0.12%,,,,
,,CMAU,1036,4.10%,,FBLU,34,0.13%,,IPXU,62,0.25%,,PCIU,2,0.01%,,UETU,181,0.72%,,,,
,,CNCU,18,0.07%,,FBXU,9,0.04%,,IRNU,14,0.06%,,PGTU,3,0.01%,,UNIU,7,0.03%,,,,
,,CNIU,13,0.05%,,FCBU,27,0.11%,,JAAU,10,0.04%,,POCU,15,0.06%,,UTCU,12,0.05%,,,,
,,CNSU,5,0.02%,,FCGU,5,0.02%,,KKFU,187,0.74%,,PONU,401,1.59%,,UXXU,2,0.01%,,,,
,,COYU,18,0.07%,,FCIU,560,2.21%,,KKTU,139,0.55%,,RALU,2,0.01%,,WBPU,3,0.01%,,,,
,,CPSU,45,0.18%,,FCLU,4,0.02%,,LTIU,2,0.01%,,RFCU,31,0.12%,,WFHU,3,0.01%,,,,
,,CPWU,17,0.07%,,FDCU,55,0.22%,,MAEU,45,0.18%,,SCMU,9,0.04%,,XINU,120,0.47%,,,,
